Name,Team,Position,Age,SF Value,Non-SF Value,Pick Number (10-team),Pick Number (12-team),Pick Number (16-team),Pick Number (20-team),Pick Number (32-team)
KaVontae Turpin,DAL,WR,28.0,1222,1303,31.05,26.05,20.01,16.05,10.17
Daniel Bellinger,NYG,TE,24.0,1215,1338,31.06,26.06,20.02,16.06,10.18
Elijah Mitchell,SFO,RB,26.0,1214,1406,31.07,26.07,20.03,16.07,10.19
2026 Late 4th,FA,PICK,,1196,1327,31.08,26.08,20.04,16.08,10.20
Tyler Conklin,NYJ,TE,29.0,1192,1320,31.09,26.09,20.05,16.09,10.21
Drew Lock,NYG,QB,28.0,1184,710,31.10,26.10,20.06,16.10,10.22
2027 Mid 4th,FA,PICK,,1178,1406,32.01,26.11,20.07,16.11,10.23
Hendon Hooker,DET,QB,27.0,1175,807,32.02,26.12,20.08,16.12,10.24
Olamide Zaccheaus,WAS,WR,27.0,1175,1261,32.03,27.01,20.09,16.13,10.25
Brandin Cooks,DAL,WR,31.0,1172,1289,32.04,27.02,20.10,16.14,10.26
Jordan Travis,NYJ,QB,24.0,1161,717,32.05,27.03,20.11,16.15,10.27
Treylon Burks,TEN,WR,24.0,1153,1343,32.06,27.04,20.12,16.16,10.28
Demarcus Robinson,LAR,WR,30.0,1149,1346,32.07,27.05,20.13,16.17,10.29
Tommy Tremble,CAR,TE,24.0,1145,1224,32.08,27.06,20.14,16.18,10.30
Brenden Rice,LAC,WR,22.0,1136,1311,32.09,27.07,20.15,16.19,10.31
Bo Melton,GBP,WR,25.0,1134,1312,32.10,27.08,20.16,16.20,10.32
Cooper Rush,DAL,QB,31.0,1131,417,33.01,27.09,21.01,17.01,11.01
Emari Demercado,ARI,RB,26.0,1116,1313,33.02,27.10,21.02,17.02,11.02
Carson Steele,KCC,RB,22.0,1094,1286,33.03,27.11,21.03,17.03,11.03
JuJu Smith-Schuster,KCC,WR,28.0,1083,1204,33.04,27.12,21.04,17.04,11.04
Johnny Wilson,PHI,WR,23.0,1082,1250,33.05,28.01,21.05,17.05,11.05
Mike Williams,PIT,WR,30.0,1075,1297,33.06,28.02,21.06,17.06,11.06
Rasheen Ali,BAL,RB,23.0,1071,1280,33.07,28.03,21.07,17.07,11.07
Dylan Laube,LVR,RB,25.0,1068,1274,33.08,28.04,21.08,17.08,11.08
Xavier Gipson,NYJ,WR,23.0,1067,1222,33.09,28.05,21.09,17.09,11.09
Tim Patrick,DET,WR,31.0,1062,1158,33.10,28.06,21.10,17.10,11.10
Marquez Valdes-Scantling,NOS,WR,30.0,1060,1151,34.01,28.07,21.11,17.11,11.11
2027 Late 4th,FA,PICK,,1057,1121,34.02,28.08,21.12,17.12,11.12
Sione Vaki,DET,RB,23.0,1036,1205,34.03,28.09,21.13,17.13,11.13
Foster Moreau,NOS,TE,27.0,1027,1113,34.04,28.10,21.14,17.14,11.14
Raheem Mostert,MIA,RB,32.0,1024,1276,34.05,28.11,21.15,17.15,11.15
Greg Dulcich,NYG,TE,24.0,1024,1175,34.06,28.12,21.16,17.16,11.16
Kenny Pickett,PHI,QB,26.0,1023,461,34.07,29.01,22.01,17.17,11.17
Tyler Goodson,IND,RB,24.0,1011,1294,34.08,29.02,22.02,17.18,11.18
Trey Sermon,IND,RB,25.0,1002,1264,34.09,29.03,22.03,17.19,11.19
Davis Allen,LAR,TE,23.0,993,1135,34.10,29.04,22.04,17.20,11.20
Trey Lance,DAL,QB,24.0,992,674,35.01,29.05,22.05,18.01,11.21
Allen Lazard,NYJ,WR,29.0,979,1229,35.02,29.06,22.06,18.02,11.22
Mason Rudolph,TEN,QB,29.0,978,375,35.03,29.07,22.07,18.03,11.23
Lil'Jordan Humphrey,DEN,WR,26.0,975,1068,35.04,29.08,22.08,18.04,11.24
Jared Wiley,KCC,TE,24.0,973,1150,35.05,29.09,22.09,18.05,11.25
Brevin Jordan,HOU,TE,24.0,970,1120,35.06,29.10,22.10,18.06,11.26
Frank Gore Jr.,BUF,RB,22.0,967,1153,35.07,29.11,22.11,18.07,11.27
Dorian Thompson-Robinson,CLE,QB,25.0,967,704,35.08,29.12,22.12,18.08,11.28
Chris Brooks,GBP,RB,25.0,955,1152,35.09,30.01,22.13,18.09,11.29
Tahj Washington,MIA,WR,23.0,949,1118,35.10,30.02,22.14,18.10,11.30
Tyler Johnson,LAR,WR,26.0,944,1105,36.01,30.03,22.15,18.11,11.31
Jake Bobo,SEA,WR,26.0,935,1058,36.02,30.04,22.16,18.12,11.32
Elijah Higgins,ARI,TE,24.0,933,1001,36.03,30.05,23.01,18.13,12.01
Tyler Higbee,LAR,TE,32.0,933,907,36.04,30.06,23.02,18.14,12.02
Zach Wilson,DEN,QB,25.0,931,492,36.05,30.07,23.03,18.15,12.03
Tyler Badie,DEN,RB,24.0,928,1110,36.06,30.08,23.04,18.16,12.04
Rakim Jarrett,TBB,WR,24.0,913,1064,36.07,30.09,23.05,18.17,12.05
Ameer Abdullah,LVR,RB,31.0,908,944,36.08,30.10,23.06,18.18,12.06
Kenny McIntosh,SEA,RB,24.0,907,1032,36.09,30.11,23.07,18.19,12.07
Hassan Haskins,LAC,RB,25.0,895,954,36.10,30.12,23.08,18.20,12.08
Joe Milton,NEP,QB,24.0,895,661,37.01,31.01,23.09,19.01,12.09
Derius Davis,LAC,WR,24.0,894,949,37.02,31.02,23.10,19.02,12.10
Mason Tipton,NOS,WR,24.0,881,1092,37.03,31.03,23.11,19.03,12.11
Eric Gray,NYG,RB,25.0,879,1019,37.04,31.04,23.12,19.04,12.12
AJ Dillon,GBP,RB,26.0,879,928,37.05,31.05,23.13,19.05,12.13
Mecole Hardman,KCC,WR,26.0,871,991,37.06,31.06,23.14,19.06,12.14
Brock Wright,DET,TE,26.0,869,996,37.07,31.07,23.15,19.07,12.15
Desmond Ridder,LVR,QB,25.0,854,382,37.08,31.08,23.16,19.08,12.16
Tylan Wallace,BAL,WR,25.0,854,1003,37.09,31.09,24.01,19.09,12.17
Jamari Thrash,CLE,WR,24.0,850,951,37.10,31.10,24.02,19.10,12.18
Van Jefferson,PIT,WR,28.0,843,919,38.01,31.11,24.03,19.11,12.19
Jelani Woods,IND,TE,26.0,837,939,38.02,31.12,24.04,19.12,12.20
David Moore,CAR,WR,30.0,837,942,38.03,32.01,24.05,19.13,12.21
Jase McClellan,ATL,RB,22.0,831,985,38.04,32.02,24.06,19.14,12.22
Tyler Boyd,TEN,WR,30.0,825,966,38.05,32.03,24.07,19.15,12.23
Mack Hollins,BUF,WR,31.0,819,875,38.06,32.04,24.08,19.16,12.24
Grant Calcaterra,PHI,TE,26.0,813,801,38.07,32.05,24.09,19.17,12.25
Deuce Vaughn,DAL,RB,23.0,812,918,38.08,32.06,24.10,19.18,12.26
Jake Browning,CIN,QB,28.0,809,406,38.09,32.07,24.11,19.19,12.27
Josh Reynolds,JAC,WR,29.0,799,890,38.10,32.08,24.12,19.20,12.28
Ainias Smith,PHI,WR,23.0,798,871,39.01,32.09,24.13,20.01,12.29
K.J. Osborn,WAS,WR,27.0,796,968,39.02,32.10,24.14,20.02,12.30
Justin Watson,KCC,WR,28.0,793,915,39.03,32.11,24.15,20.03,12.31
Pierre Strong Jr.,CLE,RB,26.0,790,956,39.04,32.12,24.16,20.04,12.32
David Bell,CLE,WR,24.0,785,941,39.05,33.01,25.01,20.05,13.01
Jeremy Ruckert,NYJ,TE,24.0,785,865,39.06,33.02,25.02,20.06,13.02
Tyler Scott,CHI,WR,23.0,783,861,39.07,33.03,25.03,20.07,13.03
Lucas Krull,DEN,TE,26.0,780,773,39.08,33.04,25.04,20.08,13.04
Sterling Shepard,TBB,WR,31.0,779,746,39.09,33.05,25.05,20.09,13.05
Adam Trautman,DEN,TE,27.0,772,838,39.10,33.06,25.06,20.10,13.06
Terrace Marshall,LVR,WR,24.0,766,843,40.01,33.07,25.07,20.11,13.07
Tommy DeVito,NYG,QB,26.0,761,638,40.02,33.08,25.08,20.12,13.08
Jaheim Bell,NEP,TE,23.0,760,820,40.03,33.09,25.09,20.13,13.09
Josh Oliver,MIN,TE,27.0,759,769,40.04,33.10,25.10,20.14,13.10
KJ Hamler,BUF,WR,25.0,758,769,40.05,33.11,25.11,20.15,13.11
D.J. Chark,LAC,WR,28.0,756,780,40.06,33.12,25.12,20.16,13.12
Miles Sanders,CAR,RB,27.0,747,834,40.07,34.01,25.13,20.17,13.13
Zay Jones,ARI,WR,29.0,740,809,40.08,34.02,25.14,20.18,13.14
Julius Chestnut,TEN,RB,24.0,733,864,40.09,34.03,25.15,20.19,13.15
Josh Whyle,TEN,TE,25.0,731,707,40.10,34.04,25.16,20.20,13.16
Tyler Huntley,MIA,QB,26.0,728,516,41.01,34.05,26.01,21.01,13.17
Isaiah Hodgins,NYG,WR,26.0,725,788,41.02,34.06,26.02,21.02,13.18
Kylen Granson,IND,TE,26.0,722,771,41.03,34.07,26.03,21.03,13.19
Jacoby Brissett,NEP,QB,32.0,717,417,41.04,34.08,26.04,21.04,13.20
Cedrick Wilson,NOS,WR,29.0,714,729,41.05,34.09,26.05,21.05,13.21
Kendall Milton,CIN,RB,22.0,712,777,41.06,34.10,26.06,21.06,13.22
Samaje Perine,KCC,RB,29.0,708,775,41.07,34.11,26.07,21.07,13.23
D'Onta Foreman,CLE,RB,28.0,689,716,41.08,34.12,26.08,21.08,13.24
Malik Heath,GBP,WR,24.0,688,781,41.09,35.01,26.09,21.09,13.25
Skyy Moore,KCC,WR,24.0,687,732,41.10,35.02,26.10,21.10,13.26
Clyde Edwards-Helaire,NOS,RB,25.0,685,791,42.01,35.03,26.11,21.11,13.27
