Name,Team,Position,Age,SF Value,Non-SF Value
Harrison Bryant,LVR,TE,26,468,436
Hassan Haskins,LAC,RB,25,895,954
Hayden Hurst,LAC,TE,31,613,653
Hendon Hooker,DET,QB,27,1175,807
Hunter Henry,NEP,TE,30,1991,2307
Hunter Long,LAR,TE,26,374,359
Hunter Renfrow,FA,WR,29,166,137
Ian Thomas,CAR,TE,28,317,351
Ihmir Smith-Marsette,NYG,WR,25,443,499
Isaac Guerendo,SFO,RB,24,2700,3346
Isaiah Davis,NYJ,RB,22,1713,1787
Isaiah Hodgins,NYG,WR,26,725,788
Isaiah Likely,BAL,TE,24,2849,3435
Isaiah Spiller,FA,RB,23,203,306
Isiah Pacheco,KCC,RB,25,4017,5197
Israel Abanikanda,SFO,RB,22,1241,1394
Ja'Lynn Polk,NEP,WR,22,2174,2738
Ja'Marr Chase,CIN,WR,24,9997,9999
Ja'Tavion Sanders,CAR,TE,21,2421,2992
Jacob Cowing,SFO,WR,23,1343,1666
Jacoby Brissett,NEP,QB,32,717,417
Jaelon Darden,SEA,WR,26,366,411
Jahan Dotson,PHI,WR,24,1382,1575
Jaheim Bell,NEP,TE,23,760,820
Jahmyr Gibbs,DET,RB,22,8013,8761
Jake Bobo,SEA,WR,26,935,1058
Jake Browning,CIN,QB,28,809,406
Jake Ferguson,DAL,TE,26,2857,3506
Jake Haener,NOS,QB,25,615,101
Jakobi Meyers,LVR,WR,28,3051,3760
Jaleel McLaughlin,DEN,RB,24,2156,2576
Jalen Coker,CAR,WR,23,2577,3086
Jalen Hurts,PHI,QB,26,7883,6400
Jalen McMillan,TBB,WR,23,3420,4176
Jalen Nailor,MIN,WR,25,1684,1986
Jalen Reagor,LAC,WR,26,630,591
Jalen Tolbert,DAL,WR,25,1842,2170
Jalin Hyatt,NYG,WR,23,1480,1781
Jamaal Williams,NOS,RB,29,620,534
Jamari Thrash,CLE,WR,24,850,951
Jameis Winston,CLE,QB,31,1885,1516
James Conner,ARI,RB,29,3321,4199
James Cook,BUF,RB,25,5179,6137
Jameson Williams,DET,WR,23,4609,5631
Jamison Crowder,WAS,WR,31,169,195
JaMycal Hasty,NEP,RB,28,379,396
Jared Goff,DET,QB,30,5163,3776
Jared Wiley,KCC,TE,24,973,1150
Jarrett Stidham,DEN,QB,28,467,164
Jase McClellan,ATL,RB,22,831,985
Jauan Jennings,SFO,WR,27,3058,3732
Javon Baker,NEP,WR,22,1626,1935
Javonte Williams,DEN,RB,24,2402,3085
Jaxon Smith-Njigba,SEA,WR,22,6582,7251
Jayden Daniels,WAS,QB,24,9318,7220
Jayden Reed,GBP,WR,24,4329,5573
Jaylen Waddle,MIA,WR,26,4480,5539
Jaylen Warren,PIT,RB,26,2790,3394
Jaylen Wright,MIA,RB,21,2714,3470
Jeffery Wilson,MIA,RB,29,401,451
Jelani Woods,IND,TE,26,837,939
Jeremy Ruckert,NYJ,TE,24,785,865
Jermaine Burton,CIN,WR,23,2010,2527
Jerome Ford,CLE,RB,25,2407,2874
Jerry Jeudy,CLE,WR,25,3999,4901
J.J. McCarthy,MIN,QB,22,4870,3736
J.K. Dobbins,LAC,RB,26,3072,3958
Joe Burrow,CIN,QB,28,8365,6227
Joe Flacco,IND,QB,40,566,339
Joe Milton,NEP,QB,24,895,661
Joe Mixon,HOU,RB,28,4022,5176
John Bates,WAS,TE,27,268,316
John Metchie,HOU,WR,24,1816,2150
Johnny Wilson,PHI,WR,23,1082,1250
Jonathan Mingo,DAL,WR,23,1392,1702
Jonathan Taylor,IND,RB,26,5367,6397
Jonathon Brooks,CAR,RB,21,3136,4144
Jonnu Smith,MIA,TE,29,2745,3229
Jordan Addison,MIN,WR,22,5156,6056
Jordan Love,GBP,QB,26,6843,5406
Jordan Mason,SFO,RB,25,2338,2958
Jordan Travis,NYJ,QB,24,1161,717
Jordan Whittington,LAR,WR,24,1766,2143
Josh Allen,BUF,QB,28,9991,7733
Josh Downs,IND,WR,23,3884,4952
Josh Jacobs,GBP,RB,26,5140,6079
Josh Oliver,MIN,TE,27,759,769
Josh Reynolds,JAC,WR,29,799,890
Josh Whyle,TEN,TE,25,731,707
Joshua Dobbs,SFO,QB,29,608,219
Joshua Kelley,TEN,RB,27,312,425
Joshua Palmer,LAC,WR,25,1961,2346
JuJu Smith-Schuster,KCC,WR,28,1083,1204
Julius Chestnut,TEN,RB,24,733,864
Justice Hill,BAL,RB,27,1659,1959
Justin Fields,PIT,QB,25,2716,2646
Justin Herbert,LAC,QB,26,7166,5259
Justin Jefferson,MIN,WR,25,9624,9984
Justin Shorter,LVR,WR,24,489,504
Justin Watson,KCC,WR,28,793,915
Justyn Ross,KCC,WR,25,518,642
Juwan Johnson,NOS,TE,28,1516,1635
Kadarius Toney,FA,WR,25,269,269
Kalif Raymond,DET,WR,30,683,734
Kareem Hunt,KCC,RB,29,1511,1901
KaVontae Turpin,DAL,WR,28,1222,1303
Kayshon Boutte,NEP,WR,22,2147,2566
Keaton Mitchell,BAL,RB,23,2144,2573
Keenan Allen,CHI,WR,32,2292,2611
Kendall Milton,CIN,RB,22,712,777
Kendre Miller,NOS,RB,22,2494,2994
Kendrick Bourne,NEP,WR,29,1235,1372
Kenneth Gainwell,PHI,RB,25,1410,1601
Kenneth Walker III,SEA,RB,24,4916,6081
Kenny McIntosh,SEA,RB,24,907,1032
Kenny Pickett,PHI,QB,26,1023,461
Keon Coleman,BUF,WR,21,4036,5096
Khalil Herbert,CIN,RB,26,1440,1726
Khalil Shakir,BUF,WR,24,3671,4652
Kimani Vidal,LAC,RB,23,2178,2563
Kirk Cousins,ATL,QB,36,1931,2093
KJ Hamler,BUF,WR,25,758,769
K.J. Osborn,WAS,WR,27,796,968
Kyle Pitts,ATL,TE,24,3204,4098
Kyle Trask,TBB,QB,26,546,163
Kylen Granson,IND,TE,26,722,771
Kyler Murray,ARI,QB,27,5973,4955
Kyren Williams,LAR,RB,24,5660,6632
Ladd McConkey,LAC,WR,23,6156,6847
Lamar Jackson,BAL,QB,28,9956,7563
Laviska Shenault,LAC,WR,26,527,545
Lil'Jordan Humphrey,DEN,WR,26,975,1068
Lucas Krull,DEN,TE,26,780,773
Luke McCaffrey,WAS,WR,23,2115,2467
Luke Musgrave,GBP,TE,24,1940,2157
Luke Schoonmaker,DAL,TE,26,1642,1783
Mac Jones,JAC,QB,26,1539,658
Mack Hollins,BUF,WR,31,819,875
Malachi Corley,NYJ,WR,22,1644,2023
Malik Heath,GBP,WR,24,688,781
Malik Nabers,NYG,WR,21,8041,8641
Malik Washington,MIA,WR,24,1865,2171
Malik Willis,GBP,QB,25,1583,1192
Marcus Mariota,WAS,QB,31,551,132
Mark Andrews,BAL,TE,29,3343,4163
Marquez Callaway,TBB,WR,26,437,421
Marquez Valdes-Scantling,NOS,WR,30,1060,1151
Marquise Brown,KCC,WR,27,2465,2967
MarShawn Lloyd,GBP,RB,24,2319,2831
Marvin Harrison Jr.,ARI,WR,22,6543,7252
Marvin Mims,DEN,WR,22,2552,2930
Mason Rudolph,TEN,QB,29,978,375
Mason Tipton,NOS,WR,24,881,1092
Matt Breida,FA,RB,29,166,130
Matthew Stafford,LAR,QB,36,2762,2424
Mecole Hardman,KCC,WR,26,871,991
Michael Mayer,LVR,TE,23,1856,2101
Michael Penix Jr.,ATL,QB,24,5023,3648
Michael Pittman,IND,WR,27,3304,4185
Michael Pratt,TBB,QB,23,266,162
Michael Wilson,ARI,WR,24,2226,2758
Mike Evans,TBB,WR,31,4008,4997
